"age","gender","race","income","education","stratum","strata_n","m1Am","m1Bmfit","m1Bmupr","m1Bmlwr","m2Bmfit","m2Bmupr","m2Bmlwr","m2BmfitL","m2BmuprL","m2BmlwrL","m2BmF","mean_bmi","mean_obesity","rank"
"old","male","black","imid","elow","oldmaleblackimidelow",427,25.8906331853086,25.9923129591782,26.5049149108902,25.4225514220003,0.186830716788219,0.230337132348175,0.150376774292106,-1.46163591417054,-1.21098206551601,-1.72526214919711,-1.17100134269257,25.8199963383236,17.096018735363,28
"old","male","black","imid","emid","oldmaleblackimidemid",80,26.8772922168972,27.0405839556085,27.879772074863,26.197417857836,0.227523126397957,0.291866680872006,0.171857181172719,-1.20896184883577,-0.838243701561072,-1.56819479977823,-1.20461672554173,26.9064177233355,22.5,91
"old","male","black","imid","ehigh","oldmaleblackimidehigh",14,27.485195066538,27.4582454637925,28.6815014820382,26.3823305179534,0.239321167800673,0.319277291502669,0.167665167665903,-1.17608997062343,-0.753397913235503,-1.5571620057676,-1.3175540499811,29.0815577485963,50,126
"old","male","black","ihigh","elow","oldmaleblackihighelow",198,26.2339614697382,26.4156890064965,27.0649397793154,25.7284198126451,0.186522976618525,0.239536575022279,0.144581552582568,-1.45956180024177,-1.15292805560833,-1.77646232306675,-1.21110684858213,26.1387307445599,15.6565656565657,53
"old","male","black","ihigh","emid","oldmaleblackihighemid",95,27.1890562075992,27.2620755179247,28.0401679682574,26.4246112379454,0.226989485636826,0.290366765055344,0.176675602674639,-1.22450309782773,-0.887412835777971,-1.5408565506384,-1.24472223143129,27.3216544924293,23.1578947368421,113
"old","male","black","ihigh","ehigh","oldmaleblackihighehigh",75,27.1822339379171,27.2331320856443,28.0617163076755,26.4262180988163,0.209603603720663,0.277917283894348,0.158267776441226,-1.30519004110132,-0.94955649220343,-1.66984495223076,-1.35765955587066,27.3471962150214,22.6666666666667,108
"old","male","brown","ilow","elow","oldmalebrownilowelow",1154,25.9126287801546,25.9089864083312,26.3305532178436,25.4976152613784,0.172397256915056,0.202547791733397,0.146550543896724,-1.56685875274171,-1.3961498209836,-1.7630583178813,-1.37626270803703,25.8871196034515,16.8110918544194,25
"old","male","brown","ilow","emid","oldmalebrownilowemid",177,26.8026657656002,26.7323079760212,27.4993350502462,26.0968265685785,0.200669715595978,0.25414726169505,0.156304545994329,-1.38228389410389,-1.0995922294604,-1.69559203103334,-1.40987809088619,26.801945391208,20.3389830508475,74
"old","male","brown","ilow","ehigh","oldmalebrownilowehigh",15,26.5834203840583,26.385756706711,27.5479066212013,25.3029354526353,0.16897793234391,0.230807841698061,0.118702988055349,-1.57306862401459,-1.15781779181289,-2.00374691529575,-1.52281541532556,26.0935841283114,6.66666666666667,47
"old","male","brown","imid","elow","oldmalebrownimidelow",1891,25.7962993040454,25.803072774447,26.1559217303821,25.4093357200858,0.148765647339225,0.173165482798026,0.127692639931954,-1.74183316181916,-1.57944757010436,-1.90568065817856,-1.28696441230478,25.7787062464441,14.3310417768377,20
"old","male","brown","imid","emid","oldmalebrownimidemid",330,26.5484140493473,26.5905106010107,27.1772162723223,26.0719956310163,0.185707538249331,0.225532356644293,0.149191882479616,-1.46286899233135,-1.22008786363608,-1.72810373213816,-1.32057979515394,26.5226554181734,17.5757575757576,65
"old","male","brown","imid","ehigh","oldmalebrownimidehigh",66,26.8719992717581,26.8887752007817,27.8458443093338,25.9610511480787,0.193103362420336,0.259740650846246,0.144264793147276,-1.42015170688038,-1.06661966163995,-1.77133176493315,-1.43351711959331,26.9046619520498,19.6969696969697,82
"old","male","brown","ihigh","elow","oldmalebrownihighelow",794,26.5482811953566,26.5581104588257,26.9915653816289,26.0758836732815,0.191141678574856,0.224631621260514,0.160145859067698,-1.44052498521551,-1.23413368587843,-1.65233566965253,-1.32706991819433,26.5375699568886,18.7657430730479,62
"old","male","brown","ihigh","emid","oldmalebrownihighemid",486,27.6187509510526,27.5875625424525,28.0703495225894,27.0479247421001,0.25576550219777,0.299230862869337,0.214476091028184,-1.06296132454417,-0.840494626192847,-1.27699023112268,-1.36068530104349,27.6737864402489,26.9547325102881,133
